name,ring,quadrant,isNew,description,Laatst bijgewerkt,,
Quantumtechnologie,Monitor,Data management & Infrastructure,FALSE,"Quantumtechnologie  is een sleuteltechnologie die nieuwe producten en diensten mogelijk maakt. Quantumcomputers, quantumnetwerken en quantumsensoren kunnen straks dingen die hun 'klassieke' voorgangers niet kunnen. Quantumcomputers vallen onder high performance computing en hebben een veel grotere verwerkingssnelheid dan gewone computers. Quantumnetwerken en quantumcommunicatie kunnen het mogelijk maken om op een extreem veilige manier met elkaar te communiceren. Wanneer er wordt geprobeerd af te luisteren, wordt dit gedetecteerd. Tot slot onderscheiden quantumsensoren zich van klassieke sensoren door hun hoge gevoeligheid en resolutie. Quantumtechnologie is nog volop in ontwikkeling en het is daarom  belangrijk om de kansen en risico’s van deze technologie goed in de gaten te houden.",06-09-21,,
High Performance Computing,Monitor,Data management & Infrastructure,FALSE,"High performance computing (HPC), ook wel super computing genoemd, is geaggregeerde computerkracht waarbij het geheel veel meer is dan de som van een aantal pc's. De term supercomputer wordt gebruikt voor systemen die tenminste 10.000 tot 100.000 keer sneller zijn dan een gewone pc. Door deze veel grotere rekencapaciteit wordt het mogelijk om complexe problemen op te lossen op het gebied van wetenschappelijk onderzoek en technologische ontwikkeling. Ontwikkelingen zoals quantum computing, neuromorphic  en brain-inspired hardware vallen onder HPC. Andere technologische ontwikkelingen zoals op het gebied van fotonica kunnen zorgen voor een verdere versnelling. Op dit moment zijn de ontwikkelingen nog niet zo ver dat het Kadaster deze kan toepassen en het Kadaster is geen organisatie om deze zelf mee te ontwikkelen. Maar Kadaster houdt wel rekening met deze trend en ontwikkelingen en - voor dit moment - vooral op hoe dit in de toekomst disruptief zou kunnen zijn: de beveiliging van dit moment gaat uit van de relatief beperkte rekenkracht die beschikbaar is om encryptie te ontcijferen. Stel dat HPC beschikbaar komt, is, hoe veilig is onze data en zijn onze systemen dan nog? Voordat de eerste high performance computers zo ver zijn om de encryptie te ontcijferen duurt waarschijnlijk nog een aantal jaar. Wel is het belangrijk om te beseffen dat al eerder maatregelen genomen moeten worden om de encryptie bijv. quantum proof te maken. Het implementeren van deze nieuwe vormen van encryptie kost namelijk ook tijd.",06-09-21,,
IoT,Monitor,Data management & Infrastructure,FALSE,"The Internet of Things is zeker een grote groeiende ontwikkeling in veel verschillende vormen. Dit is gerelateerd aan de Empowered Edge trend / tech, waarbij die meer is gericht op de groeiende rekenkracht en capabilities van IoT devices, terwijl dit item meer gericht is op de IoT devices zelf. Welke mogelijkheden biedt IoT in de verscheidenheid van sensoren die zeer betaalbaar zijn en ook door consumenten worden gebruikt tot en met de huishoudelijke apparatuur die verbonden is met het internet. Een grote diversiteit in verschijningsvormen en toepassingen. Voor het Kadaster zijn sensoren een relevant onderwerp en daarmee IoT. Tegelijk is IoT zélf minder relevant in de zin dat het Kadaster niet zelf veel IoT devices zal ontwikkelen of op de markt zal brengen. Wel is het belangrijk om deze trend en de ontwikkelingen te volgen zodat het Kadaster kan faciliteren in bijvoorbeeld registratie van sensoren in de openbare ruimte of zelfs meer. Dit is precies wat het Kadaster op dit moment in betrokken is: <a href='/demonstrators/sensrnet/index.html'>SensRNet</a>, het opzetten van een nationaal sensorenregister.",06-09-21,,
Knowledge Graphs,Adopt,Tools,FALSE,"Een Knowledge Graph is een representatie van kennis over een bepaald domein die op een gestructureerde manier is vastgelegd. De knowledge graph is opgebouwd uit informatie afgeleid uit verschillende bronnen. Dit kunnen Kadaster bronnen, maar juist ook andere (open) data bronnen zijn. Voor een gebruiker is de knowledge graph toegankelijk als één geheel, en via verschillende manieren toegankelijk. Zo is de representatie vindbaar in de standaard zoekmachines (bijv. Google) en bevraagbaar middels query API’s zoals GraphQL en SPARQL. Een knowledge graph is gebaseerd op de concepten van Linked Data; zoals het gebruik van semantische modellering op basis van standaarden SKOS en OWL, maar ook het toekennen en linken via unieke identifiers (de URIs). Door deze open standaarden te combineren met de domein- en semantische kennis van de data eigenaren wordt (geo-)data voor iedereen begrijpelijk en toegankelijk. Voor Kadaster biedt de Knowledge Graph mogelijkheden om meerdere (Kadaster) datasets integraal bevraagbaar te maken, alsmede data van collega-overheden en marktpartijen. Ook kan de knowledge graph gebruikt worden als ondergrond voor een self-service analyse platform op het Web. Tenslotte hebben we aangetoond dat een Knowledge Graph de onderliggende basis is waar een chatbot (zoals Loki) haar antwoorden op baseert. Met een Knowledge Graph doorbreken we het silo denken in Data en worden wij relevanter voor onze gebruikers.",06-09-21,,
Low/No Code,Explore,Languages & Frameworks,FALSE,"Low en No Code klinkt als een fantastische oplossing voor het te kort aan ontwikkelaars en het beschikbaar maken van rijke IT mogelijkheden aan business gebruikers (citizen developers). Onze visie daarop is dat 'traditionele' software ontwikkeling ook gericht is op zo weinig mogelijk code. Het ontwikkelen van software is niet alleen het oplossen van een probleem nu, maar ook het onderhouden in de toekomst. De kracht van Low/No Code platformen, nadat deze eenmaal zijn ingericht (wat tijd en geld kost), is een snel begin voor snelle oplossingen. De vendor lock-in van een platform en de onderhoudbaarheid in de toekomst zijn serieuze risico's die meegenomen moeten worden bij het inzetten van dit soort platformen.",06-09-21,,
Metadata management,Assess,Data management & Infrastructure,FALSE,"Er is steeds meer data en data is steeds dynamischer, steeds minder statisch. Daarmee wordt het steeds belangrijker hoe en wanneer data is ontstaan, welke afwegingen daarbij zijn gedaan en hoe de data verandert in de loop van de tijd. Dat is metadata behorende bij de data. Bijvoorbeeld de lifecycle van data van ontstaan tot verwijdering (of invalide verklaard; logisch verwijderen) of juist meer op de modellering van de data en de betekenis van de data. Dit heeft ook relatie tot Event Stream Processing aangezien de wijzigingen in de data als events zijn gemodelleerd, wat op zichzelf weer metadata is. Deze metadata in een Event Stream is een goede weergave van de dynamiek van de data. Het beheer van deze metadata is op zich niet nieuw, maar neemt wel een nieuwe vlucht door de groei van de omvang van data en de complexiteit die toeneemt door de toegenomen dynamiek. Er zijn diverse aspecten van metadata waar ontwikkeling in is. Zowel patronen als producten die hierin ontwikkelen en oplossingen bieden zijn volop in beweging. Het Kadaster heeft een aardige hoeveelheid data en daarin zijn modellering en tijdigheid zeker relevante onderwerpen. Het verdient daarom aandacht om metadata en beheer van metadata te onderzoeken hoe en waar dat het Kadaster kan helpen en ondersteunen. Welke standaarden ontwikkelen zich in de wereld? Wat zijn kosten? Wat is de waarde van de data? Wat zijn mogelijkheden? Tijd om te onderzoeken!",06-09-21,,
Microservices,Explore,Techniques,FALSE,"In deze Tech Radar wordt met microservices gedoeld op kleine, autonome instanties van services die gemakkelijk in grote hoeveelheden kunnen worden gestart om hogere belasting van het systeem aan te kunnen of hogere beschikbaarheid te garanderen. Er wordt ook gedoeld op de complexiteit van het beheer van deze instanties en de routering van, naar en tussen microservices. Zodra capaciteit grote fluctuaties kent of beschikbaarheid en/of belasting vraagstukken vormen, wordt in de wereld een greep gedaan naar microservices. Tegelijk vormt de (groei van) complexiteit echt een probleem. In de cloud worden hier steeds betere en nieuwe oplossingen voor ontwikkeld, vaak open source en daarmee goed toegankelijk. Grote bedrijven als Google, Amazon en Netflix maken daar gebruik van en tonen aan dat technologieën zeker productie waardig zijn. Hoewel het Kadaster al een tijdje onderweg is naar cloud architecturen en schaalbaarheid, zijn microservices nog niet per se de standaard. Dat is vooral te wijten aan de kosten en kunde om de complexiteit te kunnen beheersen. Toch beweegt de wereld die kant op en zal het Kadaster daar ook steeds meer in mee gaan (en moeten). Dit zal wel investering vragen in ervaring opdoen en leren om microservices op een goede manier toe te passen en te beheersen. Mogelijk zullen er aanpassingen nodig zijn in de bestaande software om dit mogelijk te maken. Het punt van onderzoek of microservices gebruikt zouden moeten worden, is voorbij. Nu is het zaak om te onderzoeken hóe microservices kunnen worden toegepast.",06-09-21,,
Natural Language Processing ,Adopt,Techniques,FALSE,"Natural Language Processing, aangeduid met NLP, is een specialisatie van Machine Learning en Artificial Intelligence. NLP wordt gebruikt voor het interpreteren van taal. Toepassingen daarvan zijn legio, zoals spellingcontrole, chatbots, suggesties in applicaties (bijv. GMail). De ontwikkeling van nieuwe  frameworks/ algoritmes gaat zeer snel, en we zullen voor elk van deze algoritmes de bruikbaarheid moeten toetsen. Voor alle oplossing geldt dat geannoteerde data (informatie uit tekst met de bijbehorende plaats in diezelfde tekst) zeer belangrijk is. Gegeven onze tot nu toe goede ervaringen met NLP is ons advies om in ieder geval zoveel mogelijk (akte)teksten te annoteren.",06-09-21,,
Open source software,Adopt,Languages & Frameworks,FALSE,"Open source software is een verzamelterm voor software waarvan de broncode volledig vrij beschikbaar is. Hiermee krijgt iedereen het recht de mogelijkheid om de broncode in te zien. OSS, afkorting die meestal gebruikt wordt, is altijd met een licentie gepubliceerd waarin is vastgelegd onder welke voorwaarden verbeteringen, aanpassingen en distributie (verdere verspreiding) mag plaatsvinden. Veel OSS is als vrije software / gratis software te verkrijgen en door te ontwikkelen. Het onderwerp open source is in een stroomversnelling geraakt sinds de publicatie van de brief 'Open, Tenzij' aan de Tweede Kamer door staatssecretaris Knops. Het ETC is daarom - in samenspraak met betrokkenen zoals de CIO-office, S&B en MT-IT - aan het inventariseren wat dit voor het Kadaster kan betekenen en hoe we dit als Kadaster kunnen adopteren.",06-09-21,,
Point clouds,Assess,Techniques,FALSE,"Een point cloud (puntenwolk) is een 3d foto van een omgeving. Ze worden gemaakt met een lidar scanner (Light Detection and Ranging) of op basis van photogrammetrische technieken. Dit wordt een non-contact, non-destructive technologie genoemd om een digitale vorm te maken van een fysieke vorm. Dit wordt al breed toegepast in vele gebieden zoals agrarische en bouw sector. Bij het Kadaster zijn LG Landmeetkunde en het ETC gezamenlijk bezig met een onderzoek of we puntenwolken van derden (dus niet zelfingewonnen puntenwolken) kunnen toepassen bij het inwinnen en reconstrueren van grenzen. Gekeken wordt hoe puntenwolken in de communicatie met stakeholders buiten het kadaster (de eigenaren van de gens) gebruikt kunnen worden in het aanwijsproces. Daarnaast wordt gekeken hoe we als Kadaster puntenwolken kunnen controleren op nauwkeurigheid zodat we de puntenwolk van derden ook voor de metingen kunnen accepteren en niet zelf hoeven in te winnen.",06-09-21,,
Privacy Enhancing Technologies,Explore,Techniques,FALSE,"Dit is een verzamelnaam voor technieken die gebruikt kunnen worden om data te beschermen. Het doel is om de privacy zoveel mogelijk te waarborgen zonder de functionaliteit van systemen te verliezen. Voorbeelden van privacy enhancing technologies zijn Multi-Party Computation, Federated learning, Differential Privacy maar ook data anonimisering en pseudonimisering. Het ETC is momenteel vooral de mogelijkheden van MPC aan het onderzoeken en doet met o.a. KvK & TNO mee aan een MPC pilot.",06-09-21,,
Robot Process Automation (RPA),Assess,Techniques,FALSE,Processen met repeterende stappen kunnen in steeds grotere maten gerobotiseerd en daarmee geautomatiseerd worden. Binnen het Kadaster heeft er een geslaagde pilot plaatsgevonden rond het in kaart brengen van de ov-kosten. Momenteel wordt onderzocht welke processen zich nog meer lenen voor deze technologie. Daarbij moeten we de opmerking maken dat RPA vooral van toepassing is voor processen die niet echt (snel) aangepast en (dus) verbeterd kunnen worden. Bij Kadaster wordt al veel continuous delivery en actief ingezet op het up-to-date houden van onze applicatie en landschap en daarmee is RPA minder relevant of van toegevoegde waarde.,06-09-21,,
Smart Anything,Monitor,Data management & Infrastructure,FALSE,"Smart betekent slim, autonoom, rijk in de beleving en daarmee wordt gedoeld op slimme apparaten die autonoom kunnen opereren, veel sensoren, veel data, begrijpelijke en rijke visualisaties. En dit concept wordt op steeds meer zaken toegepast: Smart City, Smart Home, Smart Workspace, Smart Dust, Smart Materials. Smart Anything dus :-) Dit is een breed gebied waarin concepten en technologie overeenkomstig is of juist heel erg verschillend. Sensoren, IoT en Empowered Edge vormen hier onderdelen in en het wordt ‘Smart’ als deze worden gecombineerd met cloud oplossingen en visualisaties waarin data tot betekenisvolle informatie wordt vertaald en begrijpelijk en toegankelijk wordt gemaakt voor de mens. Diverse onderdelen van Smart Anything staan apart in deze TechRadar (zie bv. smart city) en zijn wisselend relevant voor het Kadaster. De toepassing van Smart bepaald in hoeverre dat relevant is voor het Kadaster. Smart Home en Smart City zijn relevant vanuit het perspectief van waarde van huizen en gebiedsontwikkeling en geografische informatie. Smart Workspace is vooral relevant voor het Kadaster voor haar eigen medewerkers. Smart Dust, hele kleine sensoren, mogelijk zijn microscopisch klein, zijn niet relevant, net zoals Smart Materials. Smart Anything is een relevante trend en het Kadaster zou moeten onderzoeken waar het kan bijdragen en participeren en tegelijk zijn zij slechts een schakel in de hele Smart Anything 'beweging'.",06-09-21,,
Smart City,Assess,Data management & Infrastructure,FALSE,"Smart Cities zijn onderdeel van Smart Anything maar wilden we graag los benoemen. Smart Cities zijn op dit moment namelijk het meest relevant voor het Kadaster. Het Kadaster zal zelf geen Smart Cities gaan ontwikkelen maar kan een aandeel hebben in het leveren van de data en kan participeren in de ontwikkeling van een Smart City. Het Kadaster heeft  laatst samen met 50 andere partijen de ""City Deal; een slimme stad zo doe je dat"" ondertekend.",06-09-21,,
Virtual Assistant,Assess,Tools,FALSE,"Virtual Assistants - of Conversational User Interfaces - zien we tegenwoordig steeds meer om ons heen, denk aan Apple Siri, Google Assistent of de chatbots van vele bedrijven. Bij conversational user interfaces gaat het om het voeren van een gesprek via chatbots of voice assistants. Chatbots bestaan al lang, maar nog niet zo lang met extra hulp van Artificial Intelligence en kant en klaar getrainde (taal)modellen. Daarmee is het mogelijk om een chatbot veel persoonlijker en minder strikt een vooraf bedacht schema te laten volgen. Voice assistance gaat technisch gezien nog een stap verder en hierbij wordt nog meer gebruik gemaakt van Artificial Intelligence. Chatbots zullen dan waarschijnlijk ook eerder worden ingezet binnen het Kadaster. Het Kadaster kan zeker voordeel hebben van chatbots en het is goed om te onderzoeken waar chatbots de werkdruk kunnen verlichten en/of de eerste lijn van vragen kunnen beantwoorden. Het Kadaster experimenteert momenteel zelf met een chatbot genaamd LOKI. Loki is een experiment waarbij we de toegevoegde waarde willen aantonen van een chatbot voor Locatie-gebaseerde Kadaster Informatieverstrekking.",06-09-21,,
Self-sovereign identity,Monitor,Data management & Infrastructure,FALSE,Self Sovereign Identity (SSI) is een technologie voor online identificatie. Zelf soeverein in dezen betekent niet afhankelijk van een uitgevende instantie. Het meest bekend is SSI voor personen. Hierbij kan een individu verschillende 'claims' maken over zijn of haar identiteit. Door middel van het valideren van claims kan iemand's online identeit worden opgebouwd. SSI voor personen wordt het meest onderzocht (zowel technisch als politiek) en als Kadaster zijnde doen wij er goed aan deze ontwikkeling te volgen. Naast personen kan SSI ook worden toegepast op objecten en devices. SSI voor gebouwen heeft een directer raakvlak met het Kadaster. Zo kan Kadaster een validerende rol spelen (de claim bevestigen dat persoon x inderdaad eigenaar is van pand y). Ook onderzoekt Kadaster hoe SSI voor een gebouw er uit kan zien in de vorm van een Unique Object Identifier als systematiek om gebouwen te identifceren. Wanneer het concept van SSI en claims wordt gecombineerd met toegangsmanagement krijgt de gebruiker meer controle over welke (persoons)gegevens worden gedeeld.,06-09-21,,
Orbital Aerospace,Monitor,Data management & Infrastructure,FALSE,"We zien dat het steeds goedkoper wordt om satellieten de lucht in te brengen en daardoor komen er ook steeds meer bij. Het gaat met name om een toename in Low Earth Orbit (LEO) satellieten. Voor het Kadaster zien we 3 mogelijk relevante doeleinden van satellieten; gps, low latency internet en remote sensing. Deze kunnen verder onderzocht worden.  ",06-09-21,,
